filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_161_2809.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,161,2809,2648,0,,0,0,0,0,1,0,0,RP,2021-06-26 19:32:49.453755
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_2969_3753.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,2969,3753,784,1,,0,0,0,0,1,0,0,RP,2021-06-26 19:32:53.544417
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_3913_6561.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,3913,6561,2648,2,,0,0,0,0,1,0,0,RP,2021-06-26 19:32:57.569286
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_6729_7505.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,6729,7505,776,3,,0,0,0,0,1,0,0,RP,2021-06-26 19:33:00.090577
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_7665_10313.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,7665,10313,2648,4,,0,0,0,0,1,0,0,RP,2021-06-26 19:33:04.260602
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_10473_11257.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,10473,11257,784,5,,0,0,0,0,1,0,0,RP,2021-06-26 19:33:06.821050
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_11409_23813.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,11409,23813,12404,6,hey_unc how_unc are_unc you_unc guys_unc doing I am so so_unc so_unc ex-_unc ah_unc oh_unc I_unc am so so so excited to share this video with you guys today I'm- I'm always excited aren't I so excited to share this I'm so excited to share,1,0,1,0,0,0,0,RP,2021-06-26 19:37:47.937616
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_24021_28705.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,24021,28705,4684,7,so excited to share that since I am new to YouTube and you guys don't know me like that well besides ,1,0,0,0,0,0,0,RP,2021-06-26 19:38:10.452878
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_28865_29985.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,28865,29985,1120,8,the products I use on my,0,0,0,1,0,0,0,RP,2021-06-26 19:38:19.262848
AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo_30065_44409.wav,AmySerrano_UCa8HaeL7RWSSXQuiLKlKUg_afC4Z1X7lo,30065,44409,14344,9,face_unn and_unn the_unn clothes_unn that_unn I'm_unn wearing_unn and_unn la la la like things like that I'm just so happy to share these little things these fifty things about me I'm gonna do the fifty things about me tag so I'm happy to share these little things that make me me,1,0,0,1,0,0,0,RP,2021-06-26 19:39:00.135469
