file,order,vowel,boundaries,creak,issues,flag
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0001_294_294_AY1.wav,0001,AY1,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0002_654_654_AY1.wav,0002,AY1,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0003_944_944_AY1.wav,0003,AY1,1,2,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0004_1184_1184_AY1.wav,0004,AY1,1,1,5,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0005_1264_1264_AH0.wav,0005,AH0,1,1,3,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0006_1414_1414_IY0.wav,0006,IY0,1,1,5,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0007_1544_1544_UW1.wav,0007,UW1,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0008_1674_1674_IH0.wav,0008,IH0,1,1,5,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0009_1834_1834_IY0.wav,0009,IY0,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0010_2424_2424_IH1.wav,0010,IH1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0011_2614_2614_IY0.wav,0011,IY0,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0012_2674_2674_OW0.wav,0012,OW0,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0013_2884_2884_AY1.wav,0013,AY1,1,4,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0014_3234_3234_AE1.wav,0014,AE1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0015_3664_3664_AH0.wav,0015,AH0,1,1,3,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0016_3814_3814_EH1.wav,0016,EH1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0017_4064_4064_AH0.wav,0017,AH0,1,1,5,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0018_4314_4314_AY1.wav,0018,AY1,1,1,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0019_4524_4524_IY1.wav,0019,IY1,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0020_4704_4704_AA1.wav,0020,AA1,1,4,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0021_4904_4904_AY1.wav,0021,AY1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0022_5064_5064_AE1.wav,0022,AE1,1,4,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0023_5384_5384_AA2.wav,0023,AA2,1,4,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0024_5574_5574_AH1.wav,0024,AH1,1,1,5,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0025_5724_5724_IH0.wav,0025,IH0,1,2,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0026_5804_5804_AO1.wav,0026,AO1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0027_5944_5944_AY1.wav,0027,AY1,1,1,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0028_6104_6104_EH1.wav,0028,EH1,1,4,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0029_6194_6194_IH1.wav,0029,IH1,1,4,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0030_6394_6394_UW0.wav,0030,UW0,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0031_6684_6684_AE1.wav,0031,AE1,1,1,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0032_7334_7334_AH1.wav,0032,AH1,1,2,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0033_7654_7654_AY1.wav,0033,AY1,1,2,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0034_7914_7914_AH1.wav,0034,AH1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0035_8204_8204_IH1.wav,0035,IH1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0036_8484_8484_EY1.wav,0036,EY1,1,4,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0037_8614_8614_EH1.wav,0037,EH1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0038_8754_8754_EH1.wav,0038,EH1,1,1,5,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0039_8844_8844_IY0.wav,0039,IY0,1,1,5,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0040_8934_8934_IH1.wav,0040,IH1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0041_9104_9104_IY1.wav,0041,IY1,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0042_9214_9214_IH1.wav,0042,IH1,1,4,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0043_9394_9394_IY0.wav,0043,IY0,1,1,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0044_9494_9494_OW0.wav,0044,OW0,1,1,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0045_9634_9634_OW1.wav,0045,OW1,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0046_9674_9674_IH1.wav,0046,IH1,1,1,5,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0047_9854_9854_UW1.wav,0047,UW1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0048_9994_9994_AA1.wav,0048,AA1,1,1,1,1
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0049_10204_10204_AH0.wav,0049,AH0,1,1,1,0
SandyLin_UCnYWIUcX6BRn0F2tclt7mVg_QdUs4Y5s5dA_0050_10384_10384_IY1.wav,0050,IY1,1,1,1,1
